,p3/p2,p4/p2,p5/p2,p6/p2,p7/p2,p8/p2
Your hyperbolic geometry,0.0015650983087416197,1.372718144816846e-06,6.376707024927534e-05,0.0002971636159607931,9.871714602517944e-07,1.8460374217986764e-09
2-layer,0.0015,0.0284,0.0005,0.1171,0.0036,0.0039
balanced 2-layer,0.0011,0.0158,0.0009,0.1156,0.0005,0.0242
3-layer,0.0006,0.1904,0.0006,0.0554,0.0005,0.0203
2-layer AlGaAs,0.0026,0.6005,0.0054,0.434,0.0143,0.2642
in-plane 4-wire,0.0008,0.3443,0.0009,0.1191,0.001,0.033
4-wire surface,0.9731,0.6931,0.4255,0.2442,0.1481,0.1074
5-wire symm. surface,0.9963,0.6202,0.264,0.0408,0.1504,0.1426
5-wire asymm. surface,1.01,0.6401,0.2737,0.0569,0.1195,0.1455
